"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00500228","0003321440","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","年次","201701-201712","2021-11-11"
"00500228","0003321441","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","年次","201701-201712","2021-11-11"
"00500228","0003321442","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（平成29年） 食用加工品","年次","201701-201712","2021-11-11"
"00500228","0003321443","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（平成29年） 生鮮冷凍水産物","年次","201701-201712","2021-11-11"
"00500228","0003269700","統計表 水産加工品の加工種類別品目別生産量（全国）　食用加工品 食用加工品","年次","201601-201612","2021-11-11"
"00500228","0003261910","統計表 水産加工品の加工種類別品目別生産量（全国）　生鮮冷凍水産物 生鮮冷凍水産物","年次","201601-201612","2021-11-11"
"00500228","0003269701","統計表 水産加工品の加工種類別品目別生産量（都道府県別）　食用加工品 食用加工品","年次","201601-201612","2021-11-11"
"00500228","0003261912","統計表 水産加工品の加工種類別品目別生産量（都道府県別）　生鮮冷凍水産物 生鮮冷凍水産物","年次","201601-201612","2021-11-11"
"00500228","0001871344","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","年次","201901-201912","2021-11-11"
"00500228","0001871345","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","年次","201901-201912","2021-11-11"
"00500228","0001871346","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和元年） 食用加工品","年次","201901-201912","2021-11-11"
"00500228","0001871347","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和元年） 生鮮冷凍水産物","年次","201901-201912","2021-11-11"
"00500228","0001901009","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","年次","202001-202012","2021-11-30"
"00500228","0001901010","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","年次","202001-202012","2021-11-30"
"00500228","0001901011","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和２年） 食用加工品","年次","202001-202012","2021-11-30"
"00500228","0001901012","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和２年） 生鮮冷凍水産物","年次","202001-202012","2021-11-30"
"00500228","0001995541","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","年次","202101-202112","2024-02-07"
"00500228","0001995542","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","年次","202101-202112","2023-03-07"
"00500228","0001995543","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和３年） 食用加工品、生鮮冷凍水産物","年次","202101-202112","2023-09-13"
"00500228","0002069001","令和３年品目別用途別出荷量（31漁港計・19品目） 実数","年次","202101-202112","2024-03-29"
"00500228","0002069002","令和３年品目別用途別出荷量（31漁港計・19品目） 構成比","年次","202101-202112","2024-03-29"
"00500228","0002069003","令和３年漁港別品目別用途別出荷量 令和３年漁港別品目別用途別出荷量","年次","202101-202112","2024-03-29"
"00500228","0002067897","令和３年月別品目別月間入庫量 合計 産地 消費地","年次","202101-202112","2024-03-29"
"00500228","0002067898","令和３年月別品目別月間出庫量 合計 産地 消費地","年次","202101-202112","2024-03-29"
"00500228","0002067899","令和３年月別品目別月末在庫量 合計 産地 消費地","年次","202101-202112","2024-03-29"
"00500228","0002063715","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","年次","202201-202212","2024-03-28"
"00500228","0002063716","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","年次","202201-202212","2024-03-28"
"00500228","0002063717","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和４年） 食用加工品、生鮮冷凍水産物","年次","202201-202212","2024-03-28"
