"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00350600","0003060191","時系列データ 金融業、保険業以外の業種(原数値)","四半期","202404-202406","2024-09-02"
"00350600","0003060791","時系列データ 金融業、保険業以外の業種(原数値)","年度次","202304-202403","2024-09-02"
"00350600","0003061945","時系列データ 全産業(金融業、保険業を含む)(原数値)","年度次","202304-202403","2024-09-02"
"00350600","0003061946","時系列データ 全産業(金融業、保険業を含む)(原数値)","四半期","202404-202406","2024-09-02"
"00350600","0003061947","時系列データ 金融業、保険業(集約)(原数値)","年度次","202304-202403","2024-09-02"
"00350600","0003061948","時系列データ 金融業、保険業(集約)(原数値)","四半期","202404-202406","2024-09-02"
"00350600","0003060192","時系列データ 銀行業(原数値)","四半期","202404-202406","2024-09-02"
"00350600","0003060824","時系列データ 銀行業(原数値)","年度次","202304-202403","2024-09-02"
"00350600","0003060193","時系列データ 貸金業、クレジットカード業等非預金信用機関(原数値)","四半期","202404-202406","2024-09-02"
"00350600","0003060825","時系列データ 貸金業、クレジットカード業等非預金信用機関（原数値）","年度次","202304-202403","2024-09-02"
"00350600","0003060194","時系列データ 金融商品取引業（第一種金融商品取引業であって有価証券関連業に限る）（原数値）","四半期","202404-202406","2024-09-02"
"00350600","0003060826","時系列データ 金融商品取引業（第一種金融商品取引業であって有価証券関連業に限る）（原数値）","年度次","202304-202403","2024-09-02"
"00350600","0003060221","時系列データ その他の金融商品取引業、商品先物取引業（原数値）","四半期","202404-202406","2024-09-02"
"00350600","0003060827","時系列データ その他の金融商品取引業、商品先物取引業（原数値）","年度次","202304-202403","2024-09-02"
"00350600","0003060222","時系列データ 保険業（その他の保険業を除く）（集約）（原数値）","四半期","202404-202406","2024-09-02"
"00350600","0003060828","時系列データ 保険業（その他の保険業を除く）（集約）（原数値）","年度次","202304-202403","2024-09-02"
"00350600","0003060223","時系列データ その他の保険業（原数値）","四半期","202404-202406","2024-09-02"
"00350600","0003060829","時系列データ その他の保険業（原数値）","年度次","202304-202403","2024-09-02"
"00350600","0003066618","時系列データ 金融業、保険業以外の業種（季節調整値）","四半期","202404-202406","2024-09-02"
