"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00500002","0001882941","産業連関表からみた農林漁業及び関連産業 取引基本表（９部門分類） (1)生産者価格評価表","-","202001-202012","2021-10-01"
"00500002","0001882942","産業連関表からみた農林漁業及び関連産業 取引基本表（９部門分類） (2)購入者価格評価表","-","202001-202012","2021-10-01"
"00500002","0001883004","食用農林水産物の生産から飲食料の最終消費に至る流れ（飲食費のフロー） 購入者価格評価表","-","202001-202012","2021-10-01"
"00500002","0001883005","統計結果の概要 表１ 農林漁業及び関連産業の国内生産額","-","202001-202012","2021-10-01"
"00500002","0001883006","統計結果の概要 表２ 生産者価格評価表（９部門分類）（平成27年）","-","202001-202012","2021-10-01"
"00500002","0001883007","統計結果の概要 表３ 購入者価格評価表（９部門分類）（平成27年）","-","202001-202012","2021-10-01"
"00500002","0001883008","統計結果の概要 表４ 飲食費のフローの推移","-","202001-202012","2021-10-01"
"00500002","0001883009","統計結果の概要 表５ 飲食料の最終消費額の推移","-","202001-202012","2021-10-01"
"00500002","0001883010","統計結果の概要 表６ 最終消費からみた飲食費の部門別の帰属額の推移","-","202001-202012","2021-10-01"
"00500002","0001883011","統計結果の概要 表７ 食品製造業に投入される食材の金額の推移","-","202001-202012","2021-10-01"
"00500002","0001882943","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (1)生産者価格評価表","-","202001-202012","2021-10-01"
"00500002","0001882944","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (2)購入者価格評価表","-","202001-202012","2021-10-01"
"00500002","0001882945","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (3)国産表","-","202001-202012","2021-10-01"
"00500002","0001882946","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (4)輸入表","-","202001-202012","2021-10-01"
"00500002","0001882947","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (5)商業マージン表","-","202001-202012","2021-10-01"
"00500002","0001882948","産業連関表からみた農林漁業及び関連産業 取引基本表（行110部門×列101部門） (6)国内貨物運賃表","-","202001-202012","2021-10-01"
"00500002","0001882949","産業連関表からみた農林漁業及び関連産業 投入係数表（行110部門×列101部門） (1)投入係数表（生産者価格）Ａ","-","202001-202012","2021-10-01"
"00500002","0001882950","産業連関表からみた農林漁業及び関連産業 投入係数表（行110部門×列101部門） (2)国産品投入係数表（生産者価格）Ａｄ","-","202001-202012","2021-10-01"
"00500002","0001882951","産業連関表からみた農林漁業及び関連産業 投入係数表（行110部門×列101部門） (3)輸入品投入係数表（生産者価格）Ａ－Ａｄ","-","202001-202012","2021-10-01"
"00500002","0001882952","産業連関表からみた農林漁業及び関連産業 逆行列係数表（98部門） (1)［Ｉ－（I－Ｍ）Ａ］-1","-","202001-202012","2021-10-01"
"00500002","0001882953","産業連関表からみた農林漁業及び関連産業 逆行列係数表（98部門） (2)（Ｉ－Ａd）-1","-","202001-202012","2021-10-01"
"00500002","0001882954","産業連関表からみた農林漁業及び関連産業 最終需要項目別生産誘発額等（98部門） (1)生産誘発額","-","202001-202012","2021-10-01"
"00500002","0001882955","産業連関表からみた農林漁業及び関連産業 最終需要項目別生産誘発額等（98部門） (2)生産誘発係数","-","202001-202012","2021-10-01"
"00500002","0001882956","産業連関表からみた農林漁業及び関連産業 最終需要項目別生産誘発額等（98部門） (3)生産誘発依存度","-","202001-202012","2021-10-01"
"00500002","0001882957","産業連関表からみた農林漁業及び関連産業 最終需要項目別生産誘発額等（98部門） (4)粗付加価値誘発額","-","202001-202012","2021-10-01"
"00500002","0001882958","産業連関表からみた農林漁業及び関連産業 最終需要項目別生産誘発額等（98部門） (5)粗付加価値誘発係数","-","202001-202012","2021-10-01"
"00500002","0001882959","産業連関表からみた農林漁業及び関連産業 最終需要項目別生産誘発額等（98部門） (6) 粗付加価値誘発依存度","-","202001-202012","2021-10-01"
"00500002","0001882960","産業連関表からみた農林漁業及び関連産業 雇用表（101部門） 雇用表（101部門）","-","202001-202012","2021-10-01"
"00500002","0001883001","食用農林水産物の生産から飲食料の最終消費に至る流れ（飲食費のフロー） 国産表","-","202001-202012","2021-10-01"
"00500002","0001883002","食用農林水産物の生産から飲食料の最終消費に至る流れ（飲食費のフロー） 輸入表","-","202001-202012","2021-10-01"
"00500002","0001883003","食用農林水産物の生産から飲食料の最終消費に至る流れ（飲食費のフロー） 流通経費表（商業マージン・国内貨物運賃）","-","202001-202012","2021-10-01"
