"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00550010","0003014193","時系列表（事業所数、従業者数、現金給与総額、原材料使用額等、製造品出荷額等、　付加価値額、有形固定資産投資総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003014199","産業中分類別（事業所数、従業者数、現金給与総額、原材料使用額等、製造品出荷額等、付加価値額、年末在庫合計額、製造品年末在庫額、半製品・仕掛品年末価額、原材料・燃料年末在庫額、有形固定資産投資総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003094240","従業者規模別（事業所数、従業者数） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003094258","従業者規模別（現金給与総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003094259","従業者規模別（原材料使用額等、製造品出荷額等、付加価値額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003094274","従業者規模別（有形固定資産投資総額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003094301","都道府県別（事業所数、従業者数） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003094302","都道府県別（製造品出荷額等、付加価値額） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003094303","都道府県別（製造品出荷額等の都道府県別順位及び主要産業の概況） 従業者4人以上の事業所に関する統計（但し、在庫及び有形固定資産関連は従業者30人以上）","年次","200801-200812","2022-07-05"
"00550010","0003014203","都道府県・産業中分類別　事業所数 従業者10人以上の事業所に関する統計","年次","200801-200812","2022-07-05"
"00550010","0003014204","都道府県・産業中分類別　製造品出荷額等 従業者10人以上の事業所に関する統計","年次","200801-200812","2022-07-05"
"00550010","0003014205","都道府県・産業中分類別　付加価値額 従業者10人以上の事業所に関する統計","年次","200801-200812","2022-07-05"
"00550010","0003014206","産業別統計表（産業細分類別、従業者４人以上の事業所に関する統計表）","年次","200701-200712","2022-07-05"
"00550010","0003014207","産業別統計表（産業細分類別、従業者30人以上の事業所に関する在庫額、有形固定資産額及びリース契約による契約額及び支払額統計表）","年次","200701-200712","2022-07-05"
"00550010","0003014208","従業者規模別統計表（産業中分類別、従業者４人以上の事業所に関する統計表）","年次","200701-200712","2022-07-05"
"00550010","0003014209","従業者規模別統計表（産業中分類別、従業者30人以上の事業所に関する在庫額、有形固定資産額及びリース契約による契約額及び支払額統計表）","年次","200701-200712","2022-07-05"
"00550010","0003014210","都道府県別、東京特別区・政令指定都市別統計表（産業中分類別、従業者４人以上の事業所に関する統計表）","年次","200701-200712","2022-07-05"
"00550010","0003014158","市区町村編 都道府県、東京特別区・政令指定都市別の産業中分類別統計","年次","200701-200712","2022-07-05"
"00550010","0003014164","細分類 全国産業細分類別統計","年次","200701-200712","2022-07-05"
"00550010","0003014159","市区町村編 市区町村別、産業中分類別統計","年次","200701-200712","2022-07-05"
"00550010","0003014165","細分類 経済産業局別産業細分類別統計","年次","200701-200712","2022-07-05"
"00550010","0003014166","細分類 都道府県別産業細分類別統計","年次","200701-200712","2022-07-05"
"00550010","0003014171","企業統計編 企業に関する統計（産業小分類別、経営組織別、資本金階層別、従業者規模別の企業数）","年次","200701-200712","2022-07-05"
"00550010","0003014172","企業統計編 企業に関する統計（産業中分類別、経営組織別、資本金階層別、従業者規模別の従業者数）","年次","200701-200712","2022-07-05"
"00550010","0003014173","企業統計編 企業に関する統計（産業中分類別、経営組織別、資本金階層別、従業者規模別の粗付加価値額）","年次","200701-200712","2022-07-05"
"00550010","0003014174","企業統計編 企業に関する統計（産業中分類別、経営組織別、資本金階層別、従業者規模別の投資総額）","年次","200701-200712","2022-07-05"
"00550010","0003014175","企業統計編 企業に関する統計（産業小分類別、経営組織別、資本金階層別、企業統計）　全企業","年次","200701-200712","2022-07-05"
"00550010","0003014176","企業統計編 企業に関する統計（産業小分類別、経営組織別、資本金階層別、企業統計）　１社１事業所を保有する企業","年次","200701-200712","2022-07-05"
"00550010","0003014177","企業統計編 企業に関する統計（産業小分類別、経営組織別、資本金階層別、企業統計）　１社２事業所以上を保有する企業","年次","200701-200712","2022-07-05"
"00550010","0003014178","企業統計編 企業に関する統計（産業小分類別、従業者規模別、企業統計）　全企業","年次","200701-200712","2022-07-05"
"00550010","0003014179","企業統計編 企業に関する統計（産業小分類別、従業者規模別、企業統計）　１社１事業所を保有する企業","年次","200701-200712","2022-07-05"
