"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00400501","0003302020","先端研究施設・設備の活用が必要な研究開発の実施有無 業種別","年度次","201404-201503","2019-03-29"
"00400501","0003302021","先端研究施設・設備の活用が必要な研究開発の実施有無 資本金階級別","年度次","201404-201503","2019-03-29"
"00400501","0003287832","主要業種の売上高､営業利益 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003287833","主要業種の売上高､営業利益 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003287834","全社の正社員数､非正社員数 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003287835","全社の正社員数､非正社員数 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003302024","持株会社の状況 業種別","年度次","201404-201503","2019-03-29"
"00400501","0003302025","持株会社の状況 資本金階級別","年度次","201404-201503","2019-03-29"
"00400501","0003302026","研究開発活動の実施状況 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003302027","研究開発活動の実施状況 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003314880","付問2 全社の外部支出研究開発費の内訳、うち自己資金から支出した研究費(対海外) 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003314881","付問2 全社の外部支出研究開発費の内訳、うち自己資金から支出した研究費(対海外) 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003314882","全社、主要業種の社内研究開発費 外部支出研究開発費 受入研究費 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003314883","全社、主要業種の社内研究開発費 外部支出研究開発費 受入研究費 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003314898","付問1 全社の外部支出研究開発費の内訳(対国内) 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003314899","付問1 全社の外部支出研究開発費の内訳(対国内) 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003287848","外国籍研究開発者数､主要業種に係わる研究開発者数 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003287849","外国籍研究開発者数､主要業種に係わる研究開発者数 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003314884","年齢別研究開発者数 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003314885","年齢別研究開発者数 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003314886","本年度に採用した研究者数およびその内訳(新卒､中途を問わず)、うち､新卒採用者以外 業種別","年度次","201604-201703","2019-03-29"
"00400501","0003314887","本年度に採用した研究者数およびその内訳(新卒､中途を問わず)、うち､新卒採用者以外 資本金階級別","年度次","201604-201703","2019-03-29"
"00400501","0003314888","本年度の転出研究者数とその転出先内訳 業種別","年度次","201604-201703","2019-03-29"
