"STATDISPID","statcode","TITLE.@no","TITLE","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","CYCLE","SURVEY_DATE","UPDATED_DATE"
"0003117509","00600120","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0004000420","00600120","6-1","都道府県別、構造別／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114394","00600120","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","建築物着工統計","月次",0,"2024-09-30"
"0003114510","00600120","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","建築物着工統計","年次",0,"2024-08-30"
"0003117527","00600120","7-1","都道府県別、用途別（大分類）／建築物の数、床面積、工事費予定額","建築物着工統計","年度次",0,"2024-08-30"
"0003114362","00600120","8","構造別（鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","月次",0,"2024-09-30"
"0003114531","00600120","8","構造別（鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","年次",0,"2024-08-30"
"0003117510","00600120","8","構造別（鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114395","00600120","9","構造別（鉄骨鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","月次",0,"2024-09-30"
"0003114549","00600120","9","構造別（鉄骨鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","年次",0,"2024-08-30"
"0003117547","00600120","9","構造別（鉄骨鉄筋コンクリート造）、用途別、規模別／建築物の数、床面積","建築物着工統計","年度次",0,"2024-08-30"
"0003114502","00600120","10","工事別、利用関係別、構造別／戸数・件数、床面積","住宅着工統計","年次",0,"2024-03-11"
"0003114514","00600120","10","工事別、利用関係別、構造別／戸数・件数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114576","00600120","10","工事別、利用関係別、構造別／戸数・件数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114496","00600120","11","（新設住宅）資金別、利用関係別、建築主別／戸数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114540","00600120","11","（新設住宅）資金別、利用関係別、建築主別／戸数、床面積","住宅着工統計","年次",0,"2024-08-30"
"0003114627","00600120","11","（新設住宅）資金別、利用関係別、建築主別／戸数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114534","00600120","12","（新設住宅）利用関係別、構造別、住宅の種類別／戸数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114570","00600120","12","（新設住宅）利用関係別、構造別、住宅の種類別／戸数、床面積","住宅着工統計","年次",0,"2024-03-11"
"0003114588","00600120","12","（新設住宅）利用関係別、構造別、住宅の種類別／戸数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114515","00600120","13","工事別、利用関係別、住宅の種類別、建て方別／戸数・件数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114521","00600120","13","工事別、利用関係別、住宅の種類別、建て方別／戸数・件数、床面積","住宅着工統計","年次",0,"2024-08-30"
"0003114607","00600120","13","工事別、利用関係別、住宅の種類別、建て方別／戸数・件数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114497","00600120","14","工事別、工事種類別、利用関係別／戸数・件数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114503","00600120","14","工事別、工事種類別、利用関係別／戸数・件数、床面積","住宅着工統計","年次",0,"2024-08-30"
"0003114628","00600120","14","工事別、工事種類別、利用関係別／戸数・件数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114535","00600120","15","都道府県別、工事別、利用関係別／戸数・件数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114541","00600120","15","都道府県別、工事別、利用関係別／戸数・件数、床面積","住宅着工統計","年次",0,"2024-08-30"
"0003114589","00600120","15","都道府県別、工事別、利用関係別／戸数・件数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114565","00600120","16","都道府県別、工事別、住宅の種類別、建て方別／戸数・件数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114608","00600120","16","都道府県別、工事別、住宅の種類別、建て方別／戸数・件数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114613","00600120","16","都道府県別、工事別、住宅の種類別、建て方別／戸数・件数、床面積","住宅着工統計","年次",0,"2024-08-30"
"0003114523","00600120","27","（プレハブ）住宅の種類別、工事別、建て方別／戸数・件数、床面積","住宅着工統計","年次",0,"2024-08-30"
"0003114566","00600120","27","（プレハブ）住宅の種類別、工事別、建て方別／戸数・件数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114578","00600120","27","（プレハブ）住宅の種類別、工事別、建て方別／戸数・件数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114537","00600120","32","（新築住宅）利用関係別、建築主別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","月次",0,"2024-09-30"
"0003114544","00600120","32","（新築住宅）利用関係別、建築主別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年次",0,"2024-08-30"
"0003114610","00600120","32","（新築住宅）利用関係別、建築主別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年度次",0,"2024-08-30"
"0003114567","00600120","33","（新築住宅）利用関係別、資金別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","月次",0,"2024-09-30"
"0003114573","00600120","33","（新築住宅）利用関係別、資金別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年次",0,"2024-08-30"
"0003114579","00600120","33","（新築住宅）利用関係別、資金別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年度次",0,"2024-08-30"
"0003114518","00600120","34","（新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","月次",0,"2024-09-30"
"0003114524","00600120","34","（新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年次",0,"2024-08-30"
"0003114631","00600120","34","（新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年度次",0,"2024-08-30"
"0003114500","00600120","35","（プレハブ新築住宅）利用関係別、資金別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","月次",0,"2024-09-30"
"0003114586","00600120","35","（プレハブ新築住宅）利用関係別、資金別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年次",0,"2024-08-30"
"0003114592","00600120","35","（プレハブ新築住宅）利用関係別、資金別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年度次",0,"2024-08-30"
"0003114538","00600120","36","（プレハブ新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","月次",0,"2024-09-30"
"0003114605","00600120","36","（プレハブ新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年次",0,"2024-08-30"
"0003114611","00600120","36","（プレハブ新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年度次",0,"2024-08-30"
"0003114568","00600120","39","（新設住宅）都市計画別、利用関係別、建築主別、建て方別／戸数、床面積、敷地面積","住宅着工統計","月次",0,"2024-09-30"
"0003114574","00600120","39","（新設住宅）都市計画別、利用関係別、建築主別、建て方別／戸数、床面積、敷地面積","住宅着工統計","年次",0,"2024-08-30"
"0003114580","00600120","39","（新設住宅）都市計画別、利用関係別、建築主別、建て方別／戸数、床面積、敷地面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114519","00600120","41","（ツーバイフォー）住宅の種類別、工事別、建て方別／戸数・件数、床面積","住宅着工統計","月次",0,"2024-09-30"
"0003114625","00600120","41","（ツーバイフォー）住宅の種類別、工事別、建て方別／戸数・件数、床面積","住宅着工統計","年次",0,"2024-08-30"
"0003114632","00600120","41","（ツーバイフォー）住宅の種類別、工事別、建て方別／戸数・件数、床面積","住宅着工統計","年度次",0,"2024-08-30"
"0003114569","00600120","44","（ツーバイフォー新築住宅）利用関係別、資金別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","月次",0,"2024-09-30"
"0003114575","00600120","44","（ツーバイフォー新築住宅）利用関係別、資金別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年次",0,"2024-08-30"
"0003114581","00600120","44","（ツーバイフォー新築住宅）利用関係別、資金別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年度次",0,"2024-08-30"
"0003114520","00600120","45","（ツーバイフォー新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","月次",0,"2024-09-30"
"0003114626","00600120","45","（ツーバイフォー新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年次",0,"2024-08-30"
"0003114633","00600120","45","（ツーバイフォー新築住宅）利用関係別、構造別、建て方別（住宅の工事費）／戸数、床面積、工事費予定額、１戸あたり工事費予定額、１平米あたり工事費予定額","住宅着工統計","年度次",0,"2024-08-30"
