"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00501007","0002066459","森林資源現況総括表 全国","-","202201-202212","2024-03-29"
"00501007","0002066460","森林資源現況総括表 都道府県別総括表 全森林","-","202201-202212","2024-03-29"
"00501007","0002066461","森林資源現況総括表 都道府県別総括表 ７条の２森林のうち、林野庁","-","202201-202212","2024-03-29"
"00501007","0002066462","森林資源現況総括表 都道府県別総括表 ７条の２森林のうち、官行造林地","-","202201-202212","2024-03-29"
"00501007","0002066463","森林資源現況総括表 都道府県別総括表 計画対象外国有林のうち、林野庁所管","-","202201-202212","2024-03-29"
"00501007","0002066464","森林資源現況総括表 都道府県別総括表 計画対象外国有林のうち、他省庁所管","-","202201-202212","2024-03-29"
"00501007","0002066465","森林資源現況総括表 都道府県別総括表 ５条森林のうち、公有林","-","202201-202212","2024-03-29"
"00501007","0002066466","森林資源現況総括表 都道府県別総括表 ５条森林のうち、私有林","-","202201-202212","2024-03-29"
"00501007","0002066467","森林資源現況総括表 都道府県別総括表 計画対象外民有林","-","202201-202212","2024-03-29"
"00501007","0002066468","森林資源現況総括表 都道府県別個表 北海道","-","202201-202212","2024-03-29"
"00501007","0002066469","森林資源現況総括表 都道府県別個表 青森県","-","202201-202212","2024-03-29"
"00501007","0002066470","森林資源現況総括表 都道府県別個表 岩手県","-","202201-202212","2024-03-29"
"00501007","0002066471","森林資源現況総括表 都道府県別個表 宮城県","-","202201-202212","2024-03-29"
"00501007","0002066472","森林資源現況総括表 都道府県別個表 秋田県","-","202201-202212","2024-03-29"
"00501007","0002066473","森林資源現況総括表 都道府県別個表 山形県","-","202201-202212","2024-03-29"
"00501007","0002066474","森林資源現況総括表 都道府県別個表 福島県","-","202201-202212","2024-03-29"
"00501007","0002066475","森林資源現況総括表 都道府県別個表 茨城県","-","202201-202212","2024-03-29"
"00501007","0002066476","森林資源現況総括表 都道府県別個表 栃木県","-","202201-202212","2024-03-29"
"00501007","0002066477","森林資源現況総括表 都道府県別個表 群馬県","-","202201-202212","2024-03-29"
"00501007","0002066478","森林資源現況総括表 都道府県別個表 埼玉県","-","202201-202212","2024-03-29"
"00501007","0002066479","森林資源現況総括表 都道府県別個表 千葉県","-","202201-202212","2024-03-29"
"00501007","0002066480","森林資源現況総括表 都道府県別個表 東京都","-","202201-202212","2024-03-29"
"00501007","0002066481","森林資源現況総括表 都道府県別個表 神奈川県","-","202201-202212","2024-03-29"
"00501007","0002066482","森林資源現況総括表 都道府県別個表 新潟県","-","202201-202212","2024-03-29"
"00501007","0002066483","森林資源現況総括表 都道府県別個表 富山県","-","202201-202212","2024-03-29"
"00501007","0002066484","森林資源現況総括表 都道府県別個表 石川県","-","202201-202212","2024-03-29"
"00501007","0002066485","森林資源現況総括表 都道府県別個表 福井県","-","202201-202212","2024-03-29"
"00501007","0002066486","森林資源現況総括表 都道府県別個表 山梨県","-","202201-202212","2024-03-29"
"00501007","0002066487","森林資源現況総括表 都道府県別個表 長野県","-","202201-202212","2024-03-29"
"00501007","0002066488","森林資源現況総括表 都道府県別個表 岐阜県","-","202201-202212","2024-03-29"
"00501007","0002066489","森林資源現況総括表 都道府県別個表 静岡県","-","202201-202212","2024-03-29"
"00501007","0002066490","森林資源現況総括表 都道府県別個表 愛知県","-","202201-202212","2024-03-29"
"00501007","0002066491","森林資源現況総括表 都道府県別個表 三重県","-","202201-202212","2024-03-29"
"00501007","0002066492","森林資源現況総括表 都道府県別個表 滋賀県","-","202201-202212","2024-03-29"
"00501007","0002066493","森林資源現況総括表 都道府県別個表 京都府","-","202201-202212","2024-03-29"
"00501007","0002066494","森林資源現況総括表 都道府県別個表 大阪府","-","202201-202212","2024-03-29"
"00501007","0002066495","森林資源現況総括表 都道府県別個表 兵庫県","-","202201-202212","2024-03-29"
"00501007","0002066496","森林資源現況総括表 都道府県別個表 奈良県","-","202201-202212","2024-03-29"
"00501007","0002066497","森林資源現況総括表 都道府県別個表 和歌山県","-","202201-202212","2024-03-29"
"00501007","0002066498","森林資源現況総括表 都道府県別個表 鳥取県","-","202201-202212","2024-03-29"
"00501007","0002066499","森林資源現況総括表 都道府県別個表 島根県","-","202201-202212","2024-03-29"
"00501007","0002066500","森林資源現況総括表 都道府県別個表 岡山県","-","202201-202212","2024-03-29"
"00501007","0002066501","森林資源現況総括表 都道府県別個表 広島県","-","202201-202212","2024-03-29"
"00501007","0002066502","森林資源現況総括表 都道府県別個表 山口県","-","202201-202212","2024-03-29"
"00501007","0002066503","森林資源現況総括表 都道府県別個表 徳島県","-","202201-202212","2024-03-29"
"00501007","0002066504","森林資源現況総括表 都道府県別個表 香川県","-","202201-202212","2024-03-29"
"00501007","0002066505","森林資源現況総括表 都道府県別個表 愛媛県","-","202201-202212","2024-03-29"
"00501007","0002066506","森林資源現況総括表 都道府県別個表 高知県","-","202201-202212","2024-03-29"
"00501007","0002066507","森林資源現況総括表 都道府県別個表 福岡県","-","202201-202212","2024-03-29"
"00501007","0002066508","森林資源現況総括表 都道府県別個表 佐賀県","-","202201-202212","2024-03-29"
"00501007","0002066509","森林資源現況総括表 都道府県別個表 長崎県","-","202201-202212","2024-03-29"
"00501007","0002066510","森林資源現況総括表 都道府県別個表 熊本県","-","202201-202212","2024-03-29"
"00501007","0002066511","森林資源現況総括表 都道府県別個表 大分県","-","202201-202212","2024-03-29"
"00501007","0002066512","森林資源現況総括表 都道府県別個表 宮崎県","-","202201-202212","2024-03-29"
"00501007","0002066513","森林資源現況総括表 都道府県別個表 鹿児島県","-","202201-202212","2024-03-29"
"00501007","0002066514","森林資源現況総括表 都道府県別個表 沖縄県","-","202201-202212","2024-03-29"
"00501007","0002066515","樹種別齢級別面積 人工林計 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066516","樹種別齢級別面積 人工林計 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066517","樹種別齢級別面積 人工林計 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066542","樹種別齢級別面積 人工林ナラ類 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066543","樹種別齢級別面積 人工林ナラ類 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066544","樹種別齢級別面積 人工林ナラ類 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066545","樹種別齢級別面積 人工林その他広葉樹 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066546","樹種別齢級別面積 人工林その他広葉樹 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066547","樹種別齢級別面積 人工林その他広葉樹 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066548","樹種別齢級別面積 天然林計 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066549","樹種別齢級別面積 天然林計 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066550","樹種別齢級別面積 天然林計 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066551","樹種別齢級別面積 天然林針葉樹 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066552","樹種別齢級別面積 天然林針葉樹 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066553","樹種別齢級別面積 天然林針葉樹 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066554","樹種別齢級別面積 天然林広葉樹 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066555","樹種別齢級別面積 天然林広葉樹 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066556","樹種別齢級別面積 天然林広葉樹 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066518","樹種別齢級別面積 人工林スギ 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066519","樹種別齢級別面積 人工林スギ 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066520","樹種別齢級別面積 人工林スギ 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066521","樹種別齢級別面積 人工林ヒノキ 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066522","樹種別齢級別面積 人工林ヒノキ 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066523","樹種別齢級別面積 人工林ヒノキ 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066524","樹種別齢級別面積 人工林マツ類 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066525","樹種別齢級別面積 人工林マツ類 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066526","樹種別齢級別面積 人工林マツ類 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066527","樹種別齢級別面積 人工林カラマツ 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066528","樹種別齢級別面積 人工林カラマツ 計画対象国有林","-","202201-202212","2024-03-29"
"00501007","0002066529","樹種別齢級別面積 人工林カラマツ 計画対象民有林","-","202201-202212","2024-03-29"
"00501007","0002066530","樹種別齢級別面積 人工林トドマツ 計画対象森林","-","202201-202212","2024-03-29"
"00501007","0002066531","樹種別齢級別面積 人工林トドマツ 計画対象国有林","-","202201-202212","2024-03-29"
