"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00250003","0003274048","被疑事件の推移 被疑事件の受理，既済及び未済件数の累年比較　（1882年～1950年）","年次",,"2024-06-03"
"00250003","0003276780","罪名別　被疑事件の受理人員","月次",,"2024-08-30"
"00250003","0003274058","被疑事件の受理及び処理状況 検察庁別　道路交通法等違反被疑事件の受理、既済及び未済の人員　－　年次別","年次",,"2024-06-03"
"00250003","0003274059","被疑事件の受理及び処理状況 検察庁別　道路交通法等違反被疑事件の受理、既済及び未済の人員　－　検察庁別","年次",,"2024-08-30"
"00250003","0003283323","被疑事件の受理及び処理状況 最高検、高検及び地検管内別　罪名別被疑事件の通常受理、起訴、起訴猶予及び家庭裁判所送致の人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-08-30"
"00250003","0003274061","被疑事件の受理及び処理状況 地検管内別　人口１０万人に対する主要罪名別被疑事件の通常受理人員","年次",,"2024-07-10"
"00250003","0003274062","外国人被疑事件の受理及び処理状況 最高検、高検及び地検管内別　外国人被疑事件の受理、既済及び未済の人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-06-03"
"00250003","0003274063","外国人被疑事件の受理及び処理状況 最高検、高検及び地検管内別　外国人被疑事件の国籍別通常受理人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274064","外国人被疑事件の受理及び処理状況 国籍及び罪名別　外国人被疑事件の受理、既済及び未済の人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－　－　国籍別　","年次",,"2024-06-03"
"00250003","0003274065","外国人被疑事件の受理及び処理状況 国籍及び罪名別　外国人被疑事件の受理、既済及び未済の人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－　－　罪名別　","年次",,"2024-06-03"
"00250003","0003282742","外国人被疑事件の受理及び処理状況 罪名別　外国人被疑事件の国籍別通常受理人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274067","外国人被疑事件の受理及び処理状況 最高検、高検及び地検管内別　起訴又は起訴猶予の処分に付した外国人被疑事件の罪名別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274068","外国人被疑事件の受理及び処理状況 罪名別　起訴又は起訴猶予の処分に付した外国人被疑事件の国籍別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－ 　－　処理時年齢別・性別　別","年次",,"2024-05-22"
"00250003","0003274069","外国人被疑事件の受理及び処理状況 罪名別　起訴又は起訴猶予の処分に付した外国人被疑事件の国籍別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－ 　－　罪名別","年次",,"2024-05-22"
"00250003","0003274070","外国人被疑事件の受理及び処理状況 最高検、高検及び地検管内別　来日外国人被疑事件の受理、既済及び未済の人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-06-03"
"00250003","0003274049","被疑事件の推移 被疑事件の受理、既済及び未済人員の累年比較　（1918年～）","年次",,"2024-08-30"
"00250003","0003276781","罪名別　被疑事件の処理人員","月次",,"2024-08-30"
"00250003","0003274071","外国人被疑事件の受理及び処理状況 最高検、高検及び地検管内別　来日外国人被疑事件の国籍別通常受理人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-06-03"
"00250003","0003274072","外国人被疑事件の受理及び処理状況 国籍及び罪名別　来日外国人被疑事件の受理、既済及び未済の人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－　－　国籍別","年次",,"2024-06-03"
"00250003","0003275217","外国人被疑事件の受理及び処理状況 国籍及び罪名別　来日外国人被疑事件の受理、既済及び未済の人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－　－　罪名別","年次",,"2024-06-03"
"00250003","0003274073","外国人被疑事件の受理及び処理状況 罪名別　来日外国人被疑事件の国籍別通常受理人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-06-03"
"00250003","0003274074","外国人被疑事件の受理及び処理状況 最高検、高検及び地検管内別　起訴又は起訴猶予の処分に付した来日外国人被疑事件の罪名別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-07-10"
"00250003","0003274075","外国人被疑事件の受理及び処理状況 罪名別　起訴又は起訴猶予の処分に付した来日外国人被疑事件の国籍別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－　－　処理時年齢別・性別　別","年次",,"2024-05-22"
"00250003","0003274076","外国人被疑事件の受理及び処理状況 罪名別　起訴又は起訴猶予の処分に付した来日外国人被疑事件の国籍別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－　－　罪名別","年次",,"2024-05-22"
"00250003","0003274077","少年被疑事件の受理及び処理状況 高検及び地検管内別　少年被疑事件（少年法第20条又は第23条第１項の規定により家庭裁判所から送致された事件を除く。）の受理、既済及び未済の人員","年次",,"2024-05-22"
"00250003","0003274078","少年被疑事件の受理及び処理状況 高検及び地検管内別　少年法第20条又は第23条第１項の規定により家庭裁判所から送致された事件の受理、既済及び未済の人員","年次",,"2024-08-30"
"00250003","0003274079","少年被疑事件の受理及び処理状況 罪名別　少年被疑事件（少年法第20条第１項又は第62条第１項の規定により家庭裁判所から送致された事件を除く。）の受理、既済及び未済の人員","年次",,"2024-08-30"
"00250003","0003274080","少年被疑事件の受理及び処理状況 罪名別　少年法第20条第１項又は第62条第１項の規定により家庭裁判所から送致された事件の受理、既済及び未済の人員","年次",,"2024-08-30"
"00250003","0003274081","少年被疑事件の受理及び処理状況 高検及び地検管内別　少年被疑事件の罪名別通常受理人員","年次",,"2024-05-22"
"00250003","0003274050","被疑事件の推移 被疑事件の罪名別通常受理人員の累年比較　（1991年～）","年次",,"2024-05-22"
"00250003","0003276782","最高検、高検及び地検管内別　被疑事件の受理及び処理人員（道路交通法等違反被疑事件を除く。）","月次",,"2024-08-30"
"00250003","0003274082","被疑事件の処理期間 最高検、高検及び地検管内別　被疑事件の総数及び告訴、告発事件の処理期間別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274083","被疑事件の処理期間 既済事由別　被疑事件の処理期間別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-08-30"
"00250003","0003274084","被疑事件の処理期間 捜査の端緒別　被疑事件の処理期間別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274085","被疑事件の処理期間 逮捕及び勾留別　被疑事件の処理期間別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274086","被疑事件の処理期間 最高検、高検及び地検管内別　未済となった被疑事件の未済期間別人員　－道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274087","被疑事件の処理期間 最高検、高検及び地検管内別　未済となった道路交通法等違反被疑事件の未済期間別人員","年次",,"2024-05-22"
"00250003","0003274088","被疑事件の捜査の端緒 最高検、高検及び地検管内別　既済となった被疑事件の捜査の端緒別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274089","被疑事件の捜査の端緒 罪名別　既済となった被疑事件の捜査の端緒別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274090","被疑事件の捜査の端緒 既済事由別　既済となった被疑事件の捜査の端緒別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-08-30"
"00250003","0003287467","被疑者の逮捕及び勾留 最高検、高検及び地検管内別　既済となった事件の被疑者の逮捕及び逮捕後の措置別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
"00250003","0003274051","被疑事件の推移 少年被疑事件の罪名別通常受理人員の累年比較　（1991年～）","年次",,"2024-05-22"
"00250003","0003276783","最高検、高検及び地検管内別　道路交通法等違反被疑事件の受理及び処理人員","月次",,"2024-08-30"
"00250003","0003287468","被疑者の逮捕及び勾留 最高検、高検及び地検管内別　既済となった事件の被疑者の勾留後の措置、勾留期間別及び勾留期間延長の許可、却下別人員　－自動車による過失致死傷等及び道路交通法等違反被疑事件を除く－","年次",,"2024-05-22"
