"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00500202","0003208380","林業経営統計 総括表","年度次","201304-201403","2017-11-09"
"00500202","0003208405","林業経営統計 林業経営関連借入金","年度次","201304-201403","2017-11-09"
"00500202","0003208364","林業経営統計 未収・未払金","年度次","201304-201403","2017-11-09"
"00500202","0003208365","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 関東・東山・東海","年度次","201304-201403","2017-11-09"
"00500202","0003208384","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 全国","年度次","201304-201403","2017-11-09"
"00500202","0003208385","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 近畿・中国","年度次","201304-201403","2017-11-09"
"00500202","0003208404","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 東北・北陸","年度次","201304-201403","2017-11-09"
"00500202","0003208423","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 北海道","年度次","201304-201403","2017-11-09"
"00500202","0003208424","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 四国・九州","年度次","201304-201403","2017-11-09"
"00500202","0003208400","林業経営統計 経営体の概況","年度次","201304-201403","2017-11-09"
"00500202","0003208361","林業経営統計 経営土地の状況（年度始め）","年度次","201304-201403","2017-11-09"
"00500202","0003208381","林業経営統計 樹種別・林齢区分別山林面積(年度始め)及び年度内造林面積（年度末）","年度次","201304-201403","2017-11-09"
"00500202","0003208420","林業経営統計 林業投下労働時間","年度次","201304-201403","2017-11-09"
"00500202","0003208362","林業経営統計 林業用資産 林業用固定資産の保有状況(年度始め)","年度次","201304-201403","2017-11-09"
"00500202","0003208401","林業経営統計 林業用資産 林業用資産","年度次","201304-201403","2017-11-09"
"00500202","0003208363","林業経営統計 林業経営収支 作業別林業経営費","年度次","201304-201403","2017-11-09"
"00500202","0003208382","林業経営統計 林業経営収支 林業粗収益","年度次","201304-201403","2017-11-09"
"00500202","0003208402","林業経営統計 林業経営収支 林業経営費","年度次","201304-201403","2017-11-09"
"00500202","0003208421","林業経営統計 林業経営収支 主要林木の林齢区分別販売概況","年度次","201304-201403","2017-11-09"
"00500202","0003208383","林業経営統計 育林施業面積","年度次","201304-201403","2017-11-09"
"00500202","0003208422","林業経営統計 素材生産量","年度次","201304-201403","2017-11-09"
"00500202","0003278399","栽培きのこ経営統計 生しいたけ（原木栽培）・乾燥しいたけ（原木栽培）　総括表","年度次","200804-200903","2019-02-28"
"00500202","0003278465","林業経営統計 総括表　全国年度","年度次","200804-200903","2019-02-28"
"00500202","0003278466","林業経営統計 総括表　保有山林面積規模別","年度次","200804-200903","2019-02-28"
"00500202","0003278467","林業経営統計 総括表　林業施業状況別","年度次","200804-200903","2019-02-28"
"00500202","0003278468","林業経営統計 総括表　全国農業地域別","年度次","200804-200903","2019-02-28"
"00500202","0003278480","栽培きのこ経営統計 生しいたけ（原木栽培）・乾燥しいたけ（原木栽培）　労働時間","年度次","200804-200903","2019-02-28"
"00500202","0003280561","栽培きのこ経営統計 生しいたけ（原木栽培）・乾燥しいたけ（原木栽培）　栽培きのこ用資産","年度次","200804-200903","2019-02-28"
"00500202","0003280580","栽培きのこ経営統計 生しいたけ（原木栽培）・乾燥しいたけ（原木栽培）　栽培きのこの生産概況","年度次","200804-200903","2019-02-28"
"00500202","0003280600","栽培きのこ経営統計 生しいたけ（原木栽培）・乾燥しいたけ（原木栽培）　栽培きのこ収支","年度次","200804-200903","2019-02-28"
"00500202","0003280602","栽培きのこ経営統計 生しいたけ（原木栽培）・乾燥しいたけ（原木栽培）　租税公課諸負担","年度次","200804-200903","2019-02-28"
"00500202","0003280605","栽培きのこ経営統計 生しいたけ（原木栽培）・乾燥しいたけ（原木栽培）　借入金","年度次","200804-200903","2019-02-28"
