"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00500508","0004001780","牛乳乳製品の生産動向（2020年度） 確報 1生乳生産量及び用途別処理量","年度次","202004-202103","2023-03-20"
"00500508","0004001781","牛乳乳製品の生産動向（2020年度） 確報 2北海道・都府県生乳生産量及び用途別処理量","年度次","202004-202103","2023-03-20"
"00500508","0004001782","牛乳乳製品の生産動向（2020年度） 確報 3地域別生乳生産量","年度次","202004-202103","2023-03-20"
"00500508","0004001783","牛乳乳製品の生産動向（2020年度） 確報 4牛乳等生産量","年度次","202004-202103","2023-03-20"
"00500508","0004001784","牛乳乳製品の生産動向（2020年度） 確報 5主要乳製品生産量","年度次","202004-202103","2023-03-20"
"00500508","0004001785","牛乳乳製品の生産動向（2020年度） 確報 6バター、脱脂粉乳の期末在庫量","年度次","202004-202103","2023-03-20"
"00500508","0002074552","牛乳乳製品の生産動向（2021年度） 確報 1生乳生産量及び用途別処理量","年度次","202104-202203","2024-03-29"
"00500508","0004012940","牛乳乳製品の生産動向（2021年度） 確報 2北海道・都府県生乳生産量及び用途別処理量","年度次","202104-202203","2024-03-29"
"00500508","0004012941","牛乳乳製品の生産動向（2021年度） 確報 3地域別生乳生産量","年度次","202104-202203","2024-03-29"
"00500508","0004012942","牛乳乳製品の生産動向（2021年度） 確報 4牛乳等生産量","年度次","202104-202203","2024-03-29"
"00500508","0004012943","牛乳乳製品の生産動向（2021年度） 確報 5主要乳製品生産量","年度次","202104-202203","2024-03-29"
"00500508","0004012944","牛乳乳製品の生産動向（2021年度） 確報 6バター、脱脂粉乳の期末在庫量","年度次","202104-202203","2024-03-29"
