"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00551130","0003014751","月次報 12月分","-",,"2010-03-22"
"00551130","0003014752","四半期報 1～3月期","-",,"2018-09-06"
"00551130","0003014753","総括表 平成20年1月～平成20年12月","-",,"2010-03-22"
"00551130","0003014754","ガス生産量及び購入量内訳 平成19年年計","-",,"2010-03-22"
"00551130","0003014755","製品ガス生産・購入・販売・在庫及び需要家メーター数 平成19年年計","-",,"2010-03-22"
"00551130","0003014756","原料 平成19年年計","-",,"2010-03-22"
"00551130","0003014757","託送供給・労務・電力 平成19年年計","-",,"2010-03-22"
"00551130","0003225421","月次総括表 月次総括表 月次","月次",,"2018-09-06"
"00551130","0003225494","月次総括表 月次総括表 月次","月次",,"2018-09-06"
"00551130","0003225497","月次総括表 月次総括表（四半期計） 四半期計","年次",,"2018-09-06"
"00551130","0003225509","月次総括表 月次総括表（年計） 年計","年次",,"2018-09-06"
"00551130","0003225535","月次総括表 月次総括表（年度計） 年度計","年度次",,"2018-09-06"
"00551130","0003225536","総括表 総括表年計 年計 平成17年","年次",,"2018-09-07"
"00551130","0003225537","総括表 総括表年度計 年度計 平成17年度","年度次",,"2018-09-07"
"00551130","0003225495","月次地区別表 月次地区別表 月次","月次",,"2018-09-06"
"00551130","0003225496","月次地区別表 月次地区別表 月次","月次",,"2018-09-06"
"00551130","0003225510","月次地区別表 月次地区別表（年計） 年計","年次",,"2018-09-06"
"00551130","0003225511","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（月次時系列） 月次時系列","年次",,"2018-09-07"
"00551130","0003225517","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（四半期時系列） 四半期時系列","年次",,"2018-09-07"
"00551130","0003225523","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（年次時系列） 年次時系列","年次",,"2018-09-07"
"00551130","0003225529","ガス生産量及び購入量内訳 ガス生産量及び購入量内訳（年度次時系列） 年度次時系列","年次",,"2018-09-07"
"00551130","0003225512","製品ガス生産・購入・販売・在庫及び需要家メーター数 製品ガス生産・購入・販売・在庫及び需要家メーター数（月次時系列） 月次時系列","年次",,"2018-09-06"
"00551130","0003225518","製品ガス生産・購入・販売・在庫及び需要家メーター数 製品ガス生産・購入・販売・在庫及び需要家メーター数（四半期時系列） 四半期時系列","年次",,"2018-09-06"
