"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00550300","0003272944","業種別／月次／季節調整済指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272945","業種別／月次／季節調整済指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272946","業種別／月次／季節調整済指数 在庫（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272947","業種別／月次／季節調整済指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272948","業種別／月次／原指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272949","業種別／月次／原指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272950","業種別／月次／原指数 在庫（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272951","業種別／月次／原指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272952","財別／月次／季節調整済指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272953","財別／月次／季節調整済指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272954","財別／月次／季節調整済指数 在庫（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272955","財別／月次／季節調整済指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272956","財別／月次／原指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272957","財別／月次／原指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272958","財別／月次／原指数 在庫（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272959","財別／月次／原指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272960","品目別／月次／季節調整済指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272961","品目別／月次／季節調整済指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272962","品目別／月次／季節調整済指数 在庫（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272963","品目別／月次／季節調整済指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272964","品目別／月次／原指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272965","品目別／月次／原指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272966","品目別／月次／原指数 在庫（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272967","品目別／月次／原指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272968","業種別／四半期／季節調整済指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272969","業種別／四半期／季節調整済指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272970","業種別／四半期／季節調整済指数 在庫（期末）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272971","業種別／四半期／季節調整済指数 在庫（平均）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272972","業種別／四半期／季節調整済指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272973","業種別／四半期、年、年度／原指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272974","業種別／四半期、年、年度／原指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272975","業種別／四半期、年、年度／原指数 在庫（期末）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272976","業種別／四半期、年、年度／原指数 在庫（平均）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272977","業種別／四半期、年、年度／原指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272978","財別／四半期／季節調整済指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272979","財別／四半期／季節調整済指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272980","財別／四半期／季節調整済指数 在庫（期末）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272981","財別／四半期／季節調整済指数 在庫（平均）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272982","財別／四半期／季節調整済指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272983","財別／四半期、年、年度／原指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272984","財別／四半期、年、年度／原指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272985","財別／四半期、年、年度／原指数 在庫（期末）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272986","財別／四半期、年、年度／原指数 在庫（平均）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272987","財別／四半期、年、年度／原指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272988","品目別／四半期／季節調整済指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272989","品目別／四半期／季節調整済指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272990","品目別／四半期／季節調整済指数 在庫（期末）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272991","品目別／四半期／季節調整済指数 在庫（平均）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272992","品目別／四半期／季節調整済指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272993","品目別／四半期、年、年度／原指数 付加価値額生産（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272994","品目別／四半期、年、年度／原指数 出荷（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272995","品目別／四半期、年、年度／原指数 在庫（期末）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272996","品目別／四半期、年、年度／原指数 在庫（平均）（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0003272997","品目別／四半期、年、年度／原指数 在庫率（平成22年＝100.0）","-",,"2021-09-08"
"00550300","0004017874","業種別季節調整済指数【月次】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004017875","業種別季節調整済指数【月次】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004017876","業種別季節調整済指数【月次】 在庫（2015＝100.0）","-",,"2024-07-05"
"00550300","0004017877","業種別季節調整済指数【月次】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004017878","業種別原指数【月次】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004017879","業種別原指数【月次】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018300","業種別原指数【月次】 在庫（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018301","業種別原指数【月次】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018302","財別季節調整済指数【月次】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018303","財別季節調整済指数【月次】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018304","財別季節調整済指数【月次】 在庫（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018305","財別季節調整済指数【月次】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018306","財別原指数【月次】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018307","財別原指数【月次】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018308","財別原指数【月次】 在庫（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018309","財別原指数【月次】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018310","品目別季節調整済指数【月次】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018311","品目別季節調整済指数【月次】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018312","品目別季節調整済指数【月次】 在庫（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018313","品目別季節調整済指数【月次】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018314","品目別原指数【月次】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018315","品目別原指数【月次】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018316","品目別原指数【月次】 在庫（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018317","品目別原指数【月次】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018318","業種別季節調整済指数【四半期】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018319","業種別季節調整済指数【四半期】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018320","業種別季節調整済指数【四半期】 在庫（期末）（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018321","業種別季節調整済指数【四半期】 在庫（平均）（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018322","業種別季節調整済指数【四半期】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018323","業種別原指数【年・年度・四半期】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018324","業種別原指数【年・年度・四半期】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018325","業種別原指数【年・年度・四半期】 在庫（期末）（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018326","業種別原指数【年・年度・四半期】 在庫（平均）（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018327","業種別原指数【年・年度・四半期】 在庫率（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018328","財別季節調整済指数【四半期】 付加価値額生産（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018329","財別季節調整済指数【四半期】 出荷（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018330","財別季節調整済指数【四半期】 在庫（期末）（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018331","財別季節調整済指数【四半期】 在庫（平均）（2015＝100.0）","-",,"2024-07-05"
"00550300","0004018332","財別季節調整済指数【四半期】 在庫率（2015＝100.0）","-",,"2024-07-05"
