"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00500300","0004011100","年度別食料需給表 平成26年食料需給表（確定値）","年度次","201504-201603","2024-01-15"
"00500300","0004011160","年度別食料需給表 平成27年食料需給表（概算値）","年度次","201504-201603","2024-01-15"
"00500300","0004011383","参考統計表 主要加工食品の生産量　穀類を主原料とする主要加工食品の生産量","年度次","201504-201603","2024-01-15"
"00500300","0004011387","参考統計表 主要加工食品の生産量　でん粉を主原料とする主要加工食品の生産量","年度次","201504-201603","2024-01-15"
"00500300","0004011388","参考統計表 主要加工食品の生産量　豆類・油脂類を主原料とする加工食品の生産量","年度次","201504-201603","2024-01-15"
"00500300","0004011389","参考統計表 主要加工食品の生産量　野菜を主原料とする主要加工食品の生産量","年度次","201504-201603","2024-01-15"
"00500300","0004011420","参考統計表 主要加工食品の生産量　肉類・鶏卵を主原料とする主要加工食品の生産量","年度次","201504-201603","2024-01-15"
"00500300","0004011200","項目別累年表 項目別累年表","年度次","201504-201603","2024-01-15"
"00500300","0004011421","参考統計表 飼料需給表","年度次","201504-201603","2024-01-15"
"00500300","0004011220","品目別累年表 品目別累年表","年度次","201504-201603","2024-01-15"
"00500300","0004011240","主要項目の品目別累年表 国内生産量の内訳　穀類の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011241","主要項目の品目別累年表 国内生産量の内訳　豆類の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011242","主要項目の品目別累年表 国内生産量の内訳　果実の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011260","主要項目の品目別累年表 国内生産量の内訳　野菜の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011280","主要項目の品目別累年表 国内生産量の内訳　肉類の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011281","主要項目の品目別累年表 国内生産量の内訳　主要魚介類・海藻類の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011282","主要項目の品目別累年表 国内生産量の内訳　主要油脂類の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011300","主要項目の品目別累年表 国内生産量の内訳　その他の食料の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011301","主要項目の品目別累年表 国内生産量の内訳　酒類の国内生産量の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011340","主要項目の品目別累年表 加工用の内訳　穀類の加工用の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011341","主要項目の品目別累年表 加工用の内訳　いも類の加工用の内訳","年度次","201501-201512","2024-01-15"
"00500300","0004011342","主要項目の品目別累年表 加工用の内訳　豆類の加工用の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011343","主要項目の品目別累年表 加工用の内訳　砂糖類の加工用の内訳","年度次","201504-201603","2024-01-15"
"00500300","0004011380","関連指標 自給率の推移　品目別自給率の推移","年度次","201504-201603","2024-01-15"
"00500300","0004011381","関連指標 自給率の推移　総合自給率等の推移","年度次","201504-201603","2024-01-15"
"00500300","0003313414","関連指標 国際比較　諸外国の国民１人・１年当たり供給食料（2011）（試算）","年度次","201504-201603","2024-01-15"
"00500300","0003313415","関連指標 国際比較　諸外国の国民１人・１日当たり供給栄養量（2011）（試算）","年度次","201504-201603","2024-01-15"
"00500300","0003313417","関連指標 国際比較　諸外国の品目別自給率（2011）（試算）","年度次","201504-201603","2023-11-14"
"00500300","0004011362","関連指標 国際比較　諸外国の穀物自給率の推移（1961～2011）（試算）","年度次","201504-201603","2024-01-15"
"00500300","0004011382","関連指標 国際比較　諸外国・地域の食料自給率（カロリーベース）の推移（試算等）","年度次","201504-201603","2024-01-15"
"00500300","0004011422","利用者のために （参考）総人口及び年度中の日数","年度次","201504-201603","2024-01-15"
"00500300","0003281490","項目別累年表 項目別累年表","年度次","201704-201803","2024-05-20"
"00500300","0003280680","品目別累年表 品目別累年表","年度次","201704-201803","2024-05-20"
"00500300","0003282581","主要項目の品目別累年表 国内生産量の内訳　穀類の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282582","主要項目の品目別累年表 国内生産量の内訳　豆類の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282583","主要項目の品目別累年表 国内生産量の内訳　野菜の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282584","主要項目の品目別累年表 国内生産量の内訳　果実の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282585","主要項目の品目別累年表 国内生産量の内訳　肉類の国内生産量の内訳","年度次","201604-201703","2023-11-22"
"00500300","0003282586","主要項目の品目別累年表 国内生産量の内訳　主要魚介類・海藻類の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282587","主要項目の品目別累年表 国内生産量の内訳　主要油脂類の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282588","主要項目の品目別累年表 国内生産量の内訳　その他の食料の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282589","主要項目の品目別累年表 国内生産量の内訳　酒類の国内生産量の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282680","主要項目の品目別累年表 加工用の内訳　穀類の加工用の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282681","主要項目の品目別累年表 加工用の内訳　いも類の加工用の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282682","主要項目の品目別累年表 加工用の内訳　豆類の加工用の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282683","主要項目の品目別累年表 加工用の内訳　砂糖類の加工用の内訳","年度次","201604-201703","2023-11-14"
"00500300","0003282727","関連指標 自給率の推移　品目別自給率の推移","年度次","201604-201703","2024-05-20"
"00500300","0003282728","関連指標 自給率の推移　総合自給率等の推移","年度次","201604-201703","2023-11-14"
"00500300","0003313418","関連指標 国際比較　諸外国の国民１人・１年当たり供給食料（2013）（試算）","年度次","201604-201703","2023-11-14"
"00500300","0003313419","関連指標 国際比較　諸外国の国民１人・１日当たり供給栄養量（2013）（試算）","年度次","201604-201703","2023-11-22"
"00500300","0003313440","関連指標 国際比較　諸外国の品目別自給率（2013）（試算）","年度次","201604-201703","2023-11-14"
"00500300","0003313441","関連指標 国際比較　諸外国の穀物自給率の推移（1961～2013）（試算）","年度次","201604-201703","2023-11-14"
"00500300","0003313442","関連指標 国際比較　諸外国・地域の食料自給率（カロリーベース）の推移（試算等）","年度次","201604-201703","2023-11-14"
"00500300","0001723840","年度別食料需給表 平成29年度食料需給表（概算値）","年度次","201704-201803","2023-11-14"
"00500300","0001723948","参考統計表 主要加工食品の生産量　穀類を主原料とする主要加工食品の生産量","年度次","201704-201803","2024-01-15"
"00500300","0001723949","参考統計表 主要加工食品の生産量　でん粉を主原料とする主要加工食品の生産量","年度次","201704-201803","2024-01-15"
"00500300","0001723950","参考統計表 主要加工食品の生産量　豆類・油脂類を主原料とする加工食品の生産量","年度次","201704-201803","2024-01-15"
"00500300","0001723951","参考統計表 主要加工食品の生産量　野菜を主原料とする主要加工食品の生産量","年度次","201704-201803","2024-01-15"
"00500300","0001723952","参考統計表 主要加工食品の生産量　肉類・鶏卵を主原料とする主要加工食品の生産量","年度次","201704-201803","2024-01-15"
"00500300","0001723953","参考統計表 飼料需給表","年度次","201704-201803","2024-01-15"
"00500300","0003364510","項目別累年表 項目別累年表","年度次","201704-201803","2024-05-20"
"00500300","0003364032","品目別累年表 品目別累年表","年度次","201704-201803","2024-05-20"
"00500300","0001781971","主要項目の品目別累年表 国内生産量の内訳　穀類の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781972","主要項目の品目別累年表 国内生産量の内訳　豆類の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781973","主要項目の品目別累年表 国内生産量の内訳　野菜の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781974","主要項目の品目別累年表 国内生産量の内訳　果実の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781975","主要項目の品目別累年表 国内生産量の内訳　肉類の国内生産量の内訳","年度次","201704-201803","2023-11-22"
"00500300","0001781976","主要項目の品目別累年表 国内生産量の内訳　主要魚介類・海藻類の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781977","主要項目の品目別累年表 国内生産量の内訳　主要油脂類の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781978","主要項目の品目別累年表 国内生産量の内訳　その他の食料の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781979","主要項目の品目別累年表 国内生産量の内訳　酒類の国内生産量の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781980","主要項目の品目別累年表 加工用の内訳　穀類の加工用の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781981","主要項目の品目別累年表 加工用の内訳　いも類の加工用の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781982","主要項目の品目別累年表 加工用の内訳　豆類の加工用の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781983","主要項目の品目別累年表 加工用の内訳　砂糖類の加工用の内訳","年度次","201704-201803","2023-11-14"
"00500300","0001781984","関連指標 自給率の推移　品目別自給率の推移","年度次","201704-201803","2024-05-20"
"00500300","0001781985","関連指標 自給率の推移　総合自給率等の推移","年度次","201704-201803","2023-11-14"
