"statcode","STATDISPID","TITLE","CYCLE","SURVEY_DATE","UPDATED_DATE"
"00550320","0003219261","業種別／月次／原指数 能力（平成22年＝100.0）","-",,"2021-09-22"
"00550320","0003219262","業種別／月次／原指数 稼働率（平成22年＝100.0）","-",,"2021-09-22"
"00550320","0003219263","業種別／四半期、年、年度／原指数 能力（期末）（平成22年＝100.0）","-",,"2021-09-22"
"00550320","0003219264","業種別／四半期、年、年度／原指数 能力（平均）（平成22年＝100.0）","-",,"2021-09-22"
"00550320","0003219265","業種別／四半期、年、年度／原指数 稼働率（平成22年＝100.0）","-",,"2021-09-22"
"00550320","0003219266","業種別／月次／季節調整済指数（稼働率指数のみ） 稼働率（平成22年＝100.0）","-",,"2021-09-22"
"00550320","0003219267","業種別／四半期／季節調整済指数（稼働率指数のみ） 稼働率（平成22年＝100.0）","-",,"2021-09-22"
"00550320","0004018440","総合季節調整済指数【月次】 稼働率（2015＝100.0）","-",,"2024-07-05"
"00550320","0004018441","総合原指数【月次】 能力（2015＝100.0）","-",,"2024-07-05"
"00550320","0004018442","総合原指数【月次】 稼働率（2015＝100.0）","-",,"2024-07-05"
"00550320","0004018443","総合季節調整済指数【四半期】 稼働率（2015＝100.0）","-",,"2024-07-05"
"00550320","0004018444","総合原指数【年・年度・四半期】 能力（期末）（2015＝100.0）","-",,"2024-07-05"
"00550320","0004018445","総合原指数【年・年度・四半期】 能力（平均）（2015＝100.0）","-",,"2024-07-05"
"00550320","0004018446","総合原指数【年・年度・四半期】 稼働率（2015＝100.0）","-",,"2024-07-05"
"00550320","0004017321","総合季節調整済指数【月次】 稼働率（2020＝100.0）","-",,"2024-06-20"
"00550320","0004017322","総合原指数【月次】 能力（2020＝100.0）","-",,"2024-06-20"
"00550320","0004017323","総合原指数【月次】 稼働率（2020＝100.0）","-",,"2024-06-20"
"00550320","0004017324","総合季節調整済指数【四半期】 稼働率（2020＝100.0）","-",,"2024-06-20"
"00550320","0004017325","総合原指数【年・年度・四半期】 能力（期末）（2020＝100.0）","-",,"2024-06-20"
"00550320","0004017326","総合原指数【年・年度・四半期】 能力（平均）（2020＝100.0）","-",,"2024-06-20"
"00550320","0004017327","総合原指数【年・年度・四半期】 稼働率（2020＝100.0）","-",,"2024-06-20"
